"BehaviorSpace results (NetLogo 6.0.4)"
"attitude_change_2.nlogo"
"LambdaTheta"
"09/07/2018 16:46:20:472 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","-30","30"
"[run number]","N","alpha","eta","theta","M","motivated_cognition","lambda","k","polarity","b","initial_groupspread","intergroup_credibility","theta_as","spinup_tick","skip_ticks_draw","iterations_per_tick","rolling","visualization","color_axis_max","focus_one","run_and_export_figs","[step]","cum_biasmean","cum_sd","cum_fragmentation"
"54","500","0.2","0","0.01","3.5","true","0.6","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10817142331460211","2.6328271922844784","6.843603441158703"
"55","500","0.2","0","0.01","3.5","true","0.7","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.22948590288394224","2.833184513398457","8.35646950443473"
"56","500","0.2","0","0.01","3.5","true","0.7","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1394506815156722","2.7746828061915974","7.884070362823865"
"57","500","0.2","0","0.01","3.5","true","0.7","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10199625660465575","2.7398645649190456","7.640736453369856"
"58","500","0.2","0","0.01","3.5","true","0.7","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10222955961881468","2.7157393607084477","7.38969270259222"
"59","500","0.2","0","0.01","3.5","true","0.7","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11027493333140746","2.7004217542005975","7.326316510691994"
"60","500","0.2","0","0.01","3.5","true","0.7","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1345390770194234","2.6979245152943965","7.343870108825489"
"61","500","0.2","0","0.01","3.5","true","0.7","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10809615093380469","2.6931941330137423","7.232923424363668"
"62","500","0.2","0","0.01","3.5","true","0.7","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10668102653356752","2.6930037552847725","7.268784457357096"
"63","500","0.2","0","0.01","3.5","true","0.7","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11279698369454465","2.691901318626629","7.276219290040786"
"64","500","0.2","0","0.01","3.5","true","0.8","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.22502688728055104","2.880282044107116","8.78210816477763"
"65","500","0.2","0","0.01","3.5","true","0.8","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.13424160276690947","2.825756364225507","8.285422576754335"
"66","500","0.2","0","0.01","3.5","true","0.8","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.13878801816191694","2.783213014885869","7.992422431315071"
"67","500","0.2","0","0.01","3.5","true","0.8","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12252647955326049","2.7718276594304596","7.924874580954035"
"68","500","0.2","0","0.01","3.5","true","0.8","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10624609249644235","2.760599154151792","7.792378565355769"
"69","500","0.2","0","0.01","3.5","true","0.8","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10727059104520409","2.7496617342661307","7.723585223800341"
"70","500","0.2","0","0.01","3.5","true","0.8","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11162934295521804","2.7414056967018636","7.669303754534054"
"71","500","0.2","0","0.01","3.5","true","0.8","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12114864489477996","2.7525828140065967","7.762939404226716"
"72","500","0.2","0","0.01","3.5","true","0.8","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1367307768305339","2.7312005403840782","7.605836248001699"
"73","500","0.2","0","0.01","3.5","true","0.9","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.21268262563042034","2.920232613070281","9.07388252518521"
"74","500","0.2","0","0.01","3.5","true","0.9","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1475486413129645","2.871468780712328","8.687032368789273"
"75","500","0.2","0","0.01","3.5","true","0.9","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10276851362386062","2.8313494193402255","8.377074777996464"
"76","500","0.2","0","0.01","3.5","true","0.9","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12795092432678737","2.818015822851863","8.314019575958996"
"77","500","0.2","0","0.01","3.5","true","0.9","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11019564727039564","2.7991314553329314","8.094209717678345"
"78","500","0.2","0","0.01","3.5","true","0.9","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1367484846351909","2.7947797225253175","8.111748398264496"
"79","500","0.2","0","0.01","3.5","true","0.9","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1254624663956206","2.7815598404280775","7.9493132876021395"
"80","500","0.2","0","0.01","3.5","true","0.9","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.14687633126696092","2.7890233583578037","8.070760862085546"
"81","500","0.2","0","0.01","3.5","true","0.9","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10150677899184912","2.78095748090338","8.008445745586553"
"82","500","0.2","0","0.01","3.5","true","1","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.278726413718866","2.9393028550096685","9.243294678808866"
"83","500","0.2","0","0.01","3.5","true","1","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.17203935747118038","2.9169645281905887","9.082122364883265"
"84","500","0.2","0","0.01","3.5","true","1","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.13907046467158127","2.8644190607072213","8.685182306667835"
"85","500","0.2","0","0.01","3.5","true","1","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11418268377578812","2.851617483834956","8.541509441261601"
"86","500","0.2","0","0.01","3.5","true","1","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10493110335319047","2.8417569598282717","8.47207929396021"
"87","500","0.2","0","0.01","3.5","true","1","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11504303972918076","2.830255641716367","8.411781116045836"
"88","500","0.2","0","0.01","3.5","true","1","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1293459445255963","2.8221017064560647","8.338842184143411"
"89","500","0.2","0","0.01","3.5","true","1","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11416095520292881","2.82310936849431","8.311328125447899"
"90","500","0.2","0","0.01","3.5","true","1","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12456497798099174","2.816180744914916","8.313821443023345"
"91","500","0.2","0","0.01","3.5","true","1.1","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.40879136444349584","2.9486897920549895","9.490120127255361"
"92","500","0.2","0","0.01","3.5","true","1.1","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.16845902801096876","2.946005388397958","9.3261988062104"
"93","500","0.2","0","0.01","3.5","true","1.1","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11861875723675","2.9027824426340065","8.987931870845111"
"94","500","0.2","0","0.01","3.5","true","1.1","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.13303392824397262","2.8806051908393044","8.820758168621868"
"95","500","0.2","0","0.01","3.5","true","1.1","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1384073179183478","2.873305723916484","8.774090610267644"
"96","500","0.2","0","0.01","3.5","true","1.1","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.13467898717627963","2.8609058004235632","8.677588751653003"
"97","500","0.2","0","0.01","3.5","true","1.1","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1452373786412992","2.8612048338742775","8.662320302075175"
"98","500","0.2","0","0.01","3.5","true","1.1","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1447739745740307","2.855721813609841","8.614490736479402"
"99","500","0.2","0","0.01","3.5","true","1.1","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12154773556672244","2.858850272210353","8.60642947618708"
"100","500","0.2","0","0.01","3.5","true","1.2","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","2.2635581618688265","1.977927030723152","6.593394282198776"
"101","500","0.2","0","0.01","3.5","true","1.2","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.14709254138855565","2.982928227292247","9.641803649495978"
"102","500","0.2","0","0.01","3.5","true","1.2","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.0859525657288281","2.9443210372459467","9.315493800049335"
"103","500","0.2","0","0.01","3.5","true","1.2","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.16276831554874405","2.9134183483267493","9.12346194605112"
"104","500","0.2","0","0.01","3.5","true","1.2","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.13086020474052062","2.8997941122361497","9.001173498226283"
"105","500","0.2","0","0.01","3.5","true","1.2","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.154409448174696","2.8974290625512684","9.009304537571705"
"106","500","0.2","0","0.01","3.5","true","1.2","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.16063033253645043","2.88044791158121","8.854424285735558"
"107","500","0.2","0","0.01","3.5","true","1.2","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.15477952777215193","2.88465107424349","8.894697748424447"
"108","500","0.2","0","0.01","3.5","true","1.2","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12155550550120658","2.8711720379792376","8.766860392871736"
"109","500","0.2","0","0.01","3.5","true","1.3","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","2.742642604394752","1.4971461023338255","5.244976931151645"
"110","500","0.2","0","0.01","3.5","true","1.3","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.18341087959311494","3.0240370219338786","9.984612582092105"
"111","500","0.2","0","0.01","3.5","true","1.3","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.15979016595344409","2.977896282036145","9.638741513460612"
"112","500","0.2","0","0.01","3.5","true","1.3","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.2035034212398956","2.935321169144193","9.340863799987979"
"113","500","0.2","0","0.01","3.5","true","1.3","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12607239026215378","2.9171269406275977","9.155127310976138"
"114","500","0.2","0","0.01","3.5","true","1.3","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11920046168071172","2.9074143398820653","9.060359633599752"
"115","500","0.2","0","0.01","3.5","true","1.3","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.13876982730976334","2.897101997177934","8.98396196927855"
"116","500","0.2","0","0.01","3.5","true","1.3","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12570745245736506","2.9096421804144805","9.103684340747508"
"117","500","0.2","0","0.01","3.5","true","1.3","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.15909791654462205","2.897526036556483","8.971351799454812"
"118","500","0.2","0","0.01","3.5","true","1.4","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","2.945629911401244","1.2662771079288486","4.578998244457205"
"119","500","0.2","0","0.01","3.5","true","1.4","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.27648749220954405","3.0369361665731316","10.17822990103889"
"120","500","0.2","0","0.01","3.5","true","1.4","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1296708178225148","3.0104108304959367","9.886098141830647"
"121","500","0.2","0","0.01","3.5","true","1.4","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.15581449060776653","2.967445128012338","9.557020076572723"
"122","500","0.2","0","0.01","3.5","true","1.4","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.13889157180286893","2.942160751894902","9.381360622414396"
"123","500","0.2","0","0.01","3.5","true","1.4","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11196291683922913","2.927311901599889","9.279063312277236"
"124","500","0.2","0","0.01","3.5","true","1.4","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.15144442799516164","2.920608133292663","9.201466342282947"
"125","500","0.2","0","0.01","3.5","true","1.4","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.13520727954855008","2.92083431175247","9.154260543633779"
"126","500","0.2","0","0.01","3.5","true","1.4","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1343736728466271","2.9168808439295675","9.148306041631935"
"127","500","0.2","0","0.01","3.5","true","1.5","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","2.6919177085978974","1.4986110908631585","5.328627470784273"
"128","500","0.2","0","0.01","3.5","true","1.5","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.17577768092606932","3.079412002568368","10.495855282006573"
"129","500","0.2","0","0.01","3.5","true","1.5","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.15423321960351488","3.041009511782982","10.14926009869097"
"130","500","0.2","0","0.01","3.5","true","1.5","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.14396433988496138","2.996877439131578","9.833153633327823"
