"BehaviorSpace results (NetLogo 6.0.4)"
"attitude_change.nlogo"
"delta_p2"
"08/21/2018 15:54:30:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","-38","38"
"[run number]","initial_groupspread","independent_distribution","latitude_acceptance","color_axis_max","sharpness_acceptance","alpha","p","eta","polarity","focus_one","b","M","p_as","motivated_cognition","N","rolling","skip_ticks_draw","iterations_per_tick","visualization","intergroup_credibility","[step]","cum_fragmentation","cum_sd","cum_biasmean"
"71","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.6","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.8007994465162134","1.0291824637696823","2.9204959484146746"
"72","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.65","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.621395198334566","1.0317740064379932","2.8903595279791268"
"73","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.7","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.352687908403","1.026681823107558","2.8419530191197224"
"74","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.75","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.8819333215578018","1.0175819522859335","2.745223385470723"
"75","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.8","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5581085887526518","0.35878048942162155","0.21179557010819836"
"76","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.85","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.556849687065932","0.3427057130516176","0.04885259676728994"
"77","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.9","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5756658844905842","0.33189792716655153","0.0339268445250852"
"78","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.91","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.580130589939242","0.3308949802615199","0.038326109861035865"
"79","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.92","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5790508719561218","0.3294759467471819","0.03207526420085466"
"80","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.93","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5859942264440758","0.3306831129080527","0.036489743679851784"
